	category_1	city_1	category_2	city_2	category_3	city_3	category_4	city_4	category_5	city_5
426	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
427	Food & Beverage	Riyadh								
428	Accommodation	Khobar	Food & Beverage	Khobar						
429	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
430	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
431	Tourism Attractions/ Sites	Taif								
432	Tourism Attractions/ Sites	Madinah								
433	Tourism Attractions/ Sites	Tabuk								
434	Accommodation	Makkah								
435	Tourism Attractions/ Sites	Al Ahsa								
436	Tourism Attractions/ Sites	Madinah								
437	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
438	Tourism Attractions/ Sites	Yanbu								
439	Accommodation	Riyadh	Food & Beverage	Riyadh						
440	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
441	Tourism Attractions/ Sites	Al Baha								
442	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
443	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
444	Tourism Attractions/ Sites	Al Baha								
445	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
446	Tourism Attractions/ Sites	Taif								
447	Tourism Attractions/ Sites	Umluj								
448	Tourism Attractions/ Sites	Tabuk								
449	Accommodation	Khobar	Food & Beverage	Riyadh						
450	Tourism Attractions/ Sites	Jizan								
451	Tourism Attractions/ Sites	Khobar								
452	Accommodation	Taif								
453	Tourism Attractions/ Sites	Umluj								
454	Tourism Attractions/ Sites	Umluj								
455	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
456	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
457	Retail	Dammam								
458	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
459	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
460	Tourism Attractions/ Sites	Taif								
461	Accommodation	Dammam								
462	Tourism Attractions/ Sites	Al Namas								
463	Tourism Attractions/ Sites	Al Ahsa								
464	Accommodation	Makkah	Accommodation	Taif						
465	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
466	Tourism Attractions/ Sites	KAEC								
467	Tourism Attractions/ Sites	Taif								
468	Tourism Attractions/ Sites	Tanomah								
469	Accommodation	Al Baha								
470	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
471	Tourism Attractions/ Sites	Taif	Retail	Jeddah						
472	Tourism Attractions/ Sites	Madinah								
473	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
474	Tourism Attractions/ Sites	Yanbu								
475	Tourism Attractions/ Sites	Tanomah								
476	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
477	Tourism Attractions/ Sites	Jizan								
478	Accommodation	Khobar	Accommodation	Dammam						
479	Tourism Attractions/ Sites	Al Ahsa								
480	Accommodation	Taif								
481	Tourism Attractions/ Sites	Al Baha								
482	Accommodation	Al Baha								
483	Tourism Attractions/ Sites	Tabuk								
484	Tourism Attractions/ Sites	Yanbu								
485	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
486	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
487	Accommodation	Khobar								
488	Tourism Attractions/ Sites	Abha								
489	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
490	Retail	Jeddah								
491	Tourism Attractions/ Sites	Umluj								
492	Tourism Attractions/ Sites	Madinah								
493	Tourism Attractions/ Sites	Tanomah								
494	Tourism Attractions/ Sites	Madinah								
495	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
496	Tourism Attractions/ Sites	Al Ahsa								
497	Tourism Attractions/ Sites	Jizan								
498	Tourism Attractions/ Sites	Tanomah								
499	Tourism Attractions/ Sites	Al Baha								
500	Tourism Attractions/ Sites	Sakaka / AlJouf								
501	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
502	Tourism Attractions/ Sites	Taif								
503	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
504	Tourism Attractions/ Sites	Abha								
505	Tourism Attractions/ Sites	Jizan								
506	Tourism Attractions/ Sites	Al Namas								
507	Tourism Attractions/ Sites	Madinah								
508	Tourism Attractions/ Sites	Yanbu								
509	Retail	Jeddah								
510	Retail	Tabuk								
511	Accommodation	Madinah								
512	Tourism Attractions/ Sites	Al Ahsa								
513	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
514	Accommodation	Madinah								
515	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
516	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
517	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
518	Accommodation	Makkah								
519	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
520	Retail	Jeddah								
521	Tourism Attractions/ Sites	Madinah								
522	Tourism Attractions/ Sites	Madinah								
523	Accommodation	Jeddah								
524	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
525	Retail	Jizan								
526	Food & Beverage	Tabuk								
527	Religious	Makkah								
528	Tourism Attractions/ Sites	Jeddah								
529	Tourism Attractions/ Sites	Madinah								
530	Tourism Attractions/ Sites	Yanbu								
531	Tourism Attractions/ Sites	Al Baha								
532	Food & Beverage	Riyadh								
533	Tourism Attractions/ Sites	Taif								
534	Tourism Attractions/ Sites	Taif								
535	Tourism Attractions/ Sites	Madinah								
536	Tourism Attractions/ Sites	Taif								
537	Tourism Attractions/ Sites	KAEC								
538	Tourism Attractions/ Sites	Tanomah								
539	Tourism Attractions/ Sites	Al Ahsa								
540	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
541	Accommodation	Jeddah								
542	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
543	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
544	Religious	Makkah								
